EventId,EventTemplate,Occurrences
f7fe7f88,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,85
9302fad4,Invalid user <*> from <*>,113
f6bf927a,input userauth request : invalid user <*> [preauth],113
1df5e4d2,pam unix(sshd : auth) : check pass; user unknown,135
868d6643,pam unix(sshd : auth) : authentication failure; logname = uid = 0 euid = 0 tty = ssh ruser = rhost = <*>,110
21bb6d0e,Failed password for invalid user <*> from <*> port <*> ssh2,135
2491ca3e,Connection closed by <*> [preauth],34
1d0f68b5,Received disconnect from <*> : 11 : <*> <*> <*>,414
6c25e480,pam unix(sshd : auth) : authentication failure; logname = uid = 0 euid = 0 tty = ssh ruser = rhost = <*> user = <*>,384
f831cb6d,Failed password for <*> from <*> port <*> ssh2,383
d631cc64,message repeated 5 times : [ Failed password for root from <*> port <*> ssh2],2
d00ddb61,Disconnecting : Too many authentication failures for <*> [preauth],3
3cfc8bd2,PAM 5 more authentication failures; logname = uid = 0 euid = 0 tty = ssh ruser = rhost = <*> user = root,2
00a684b8,PAM service(sshd) ignoring max retries; <*> > 3,7
c926c7d9,Did not receive identification string from <*>,10
08784344,error : Received disconnect from <*> : 3 : <*> : Auth fail [preauth],2
29158694,Received disconnect from <*> : 11 : Closed due to user request. [preauth],7
2702de18,Failed none for invalid user <*> from <*> port <*> ssh2,4
bc04ce08,PAM <*> more authentication <*> logname = uid = 0 euid = 0 tty = ssh ruser = rhost = <*>,8
45bd3886,error : Received disconnect from <*> : 14 : No more user authentication methods available. [preauth],45
bb75510d,Accepted password for fztu from <*> port 49116 ssh2,1
6aa07542,pam unix(sshd : session) : session opened for user fztu by (uid = 0),1
5423f13a,pam unix(sshd : session) : session closed for user fztu,1
b49e28ad,fatal : Write failed : Connection reset by peer [preauth],1
